href,title,date
https://sfl.fzu.edu.cn/info/1039/2351.htm,我院篮球队新老生交流赛顺利举行,2018.09.17
https://sfl.fzu.edu.cn/info/1039/2350.htm,我院成功举办2018级新生辅导员见面会,2018.09.11
https://sfl.fzu.edu.cn/info/1039/2349.htm,我院成功举办2018级新生学籍及选课教育讲座,2018.09.11
https://sfl.fzu.edu.cn/info/1039/2348.htm,我院成功举行学生会主席团换届竞选大会,2018.07.06
https://sfl.fzu.edu.cn/info/1039/2347.htm,我院成功举行本科生出国出境访学行前座谈会,2018.07.05
https://sfl.fzu.edu.cn/info/1039/2346.htm,我院“外语学习和科学研究”讲座顺利举行,2018.06.27
https://sfl.fzu.edu.cn/info/1039/2344.htm,我院“我与老总面对面”讲座顺利举行,2018.06.21
https://sfl.fzu.edu.cn/info/1039/2343.htm,我院团委学生会干部培训顺利开展,2018.06.19
https://sfl.fzu.edu.cn/info/1039/2341.htm,时光作渡，梦想成书——外国语学院2018届毕业晚会圆满落幕,2018.06.07
https://sfl.fzu.edu.cn/info/1039/2340.htm,福州大学首届土外轻语英语演讲比赛成功举办,2018.06.02
https://sfl.fzu.edu.cn/info/1039/2339.htm,喜讯：我院荣获第三十一届文化艺术节之舞蹈大赛季军！,2018.05.31
https://sfl.fzu.edu.cn/info/1039/2338.htm,助力夏日祭——我院日德文化体验活动顺利举办,2018.05.28
https://sfl.fzu.edu.cn/info/1039/2337.htm,喜讯！我院姚智誉、罗智权两位同学斩获相声大赛桂冠,2018.05.25
https://sfl.fzu.edu.cn/info/1039/2402.htm,励志人物 | 携一身荣光，还将继续前行,2018.05.22
https://sfl.fzu.edu.cn/info/1039/2403.htm,励志人物 | 历经艰深顺意，仍不改赤子初心,2018.05.22
https://sfl.fzu.edu.cn/info/1039/2334.htm,诵十九大精华，扬外国语魅力----我院英文版十九大报告诵读比赛顺利举办,2018.05.22
https://sfl.fzu.edu.cn/info/1039/2400.htm,外国语学院女篮喜获体育嘉年华女子篮球联赛决赛亚军,2018.05.19
https://sfl.fzu.edu.cn/info/1039/2401.htm,面对面交流，探考研保研之路,2018.05.19
https://sfl.fzu.edu.cn/info/1039/2399.htm,我院勇夺福州大学“振奋杯”羽毛球团体联赛亚军,2018.05.14
https://sfl.fzu.edu.cn/info/1039/2397.htm,福州大学第十三届急救技能与知识大赛决赛顺利举行,2018.05.13
https://sfl.fzu.edu.cn/info/1039/2396.htm,福州大学“校献血日”启动暨2016-2017年度无偿献血表彰大会成功召开,2018.05.13
https://sfl.fzu.edu.cn/info/1039/2395.htm,福州大学2018年外语、人文、法学毕业生专场招聘会成功举办,2018.05.12
https://sfl.fzu.edu.cn/info/1039/2391.htm,相约晨读，成就自我——我院晨读活动顺利开展,2018.05.11
https://sfl.fzu.edu.cn/info/1039/2390.htm,我院红十字会五福缘敬老院活动顺利开展,2018.05.01
https://sfl.fzu.edu.cn/info/1039/2389.htm,红十字会旧衣物回收活动顺利开展,2018.04.30
https://sfl.fzu.edu.cn/info/1039/2388.htm,校组织部到我院进行党建工作检查,2018.04.27
https://sfl.fzu.edu.cn/info/1039/2385.htm,趣味英语，快乐学习——我院开展冯宅中心小学英语支教活动,2018.04.25
